2024-12-05 19:01:57,320 INFO    MainThread:40967 [wandb_setup.py:_flush():79] Current SDK version is 0.18.7
2024-12-05 19:01:57,321 INFO    MainThread:40967 [wandb_setup.py:_flush():79] Configure stats pid to 40967
2024-12-05 19:01:57,321 INFO    MainThread:40967 [wandb_setup.py:_flush():79] Loading settings from /home/users/zsc5/.config/wandb/settings
2024-12-05 19:01:57,321 INFO    MainThread:40967 [wandb_setup.py:_flush():79] Loading settings from /home/users/zsc5/projects/ece661-GAN-project/cycleGAN/wandb/settings
2024-12-05 19:01:57,321 INFO    MainThread:40967 [wandb_setup.py:_flush():79] Loading settings from environment variables: {'api_key': '***REDACTED***'}
2024-12-05 19:01:57,321 INFO    MainThread:40967 [wandb_setup.py:_flush():79] Applying setup settings: {'mode': None, '_disable_service': None}
2024-12-05 19:01:57,321 INFO    MainThread:40967 [wandb_setup.py:_flush():79] Inferring run settings from compute environment: {'program_relpath': 'cycleGAN/src/train.py', 'program_abspath': '/home/users/zsc5/projects/ece661-GAN-project/cycleGAN/src/train.py', 'program': '/home/users/zsc5/projects/ece661-GAN-project/cycleGAN/./src/train.py'}
2024-12-05 19:01:57,321 INFO    MainThread:40967 [wandb_setup.py:_flush():79] Applying login settings: {}
2024-12-05 19:01:57,321 INFO    MainThread:40967 [wandb_init.py:_log_setup():533] Logging user logs to /home/users/zsc5/projects/ece661-GAN-project/cycleGAN/wandb/run-20241205_190157-egtn3jga/logs/debug.log
2024-12-05 19:01:57,321 INFO    MainThread:40967 [wandb_init.py:_log_setup():534] Logging internal logs to /home/users/zsc5/projects/ece661-GAN-project/cycleGAN/wandb/run-20241205_190157-egtn3jga/logs/debug-internal.log
2024-12-05 19:01:57,321 INFO    MainThread:40967 [wandb_init.py:init():619] calling init triggers
2024-12-05 19:01:57,322 INFO    MainThread:40967 [wandb_init.py:init():626] wandb.init called with sweep_config: {}
config: {'learning_rate': 0.0002, 'beta1': 0.5, 'beta2': 0.999, 'batch_size': 16, 'num_epochs': 200}
2024-12-05 19:01:57,322 INFO    MainThread:40967 [wandb_init.py:init():669] starting backend
2024-12-05 19:01:57,322 INFO    MainThread:40967 [wandb_init.py:init():673] sending inform_init request
2024-12-05 19:01:57,325 INFO    MainThread:40967 [backend.py:_multiprocessing_setup():104] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2024-12-05 19:01:57,325 INFO    MainThread:40967 [wandb_init.py:init():686] backend started and connected
2024-12-05 19:01:57,332 INFO    MainThread:40967 [wandb_init.py:init():781] updated telemetry
2024-12-05 19:01:57,359 INFO    MainThread:40967 [wandb_init.py:init():814] communicating run to backend with 90.0 second timeout
2024-12-05 19:01:57,698 INFO    MainThread:40967 [wandb_init.py:init():867] starting run threads in backend
2024-12-05 19:01:57,860 INFO    MainThread:40967 [wandb_run.py:_console_start():2456] atexit reg
2024-12-05 19:01:57,860 INFO    MainThread:40967 [wandb_run.py:_redirect():2305] redirect: wrap_raw
2024-12-05 19:01:57,860 INFO    MainThread:40967 [wandb_run.py:_redirect():2370] Wrapping output streams.
2024-12-05 19:01:57,860 INFO    MainThread:40967 [wandb_run.py:_redirect():2395] Redirects installed.
2024-12-05 19:01:57,865 INFO    MainThread:40967 [wandb_init.py:init():911] run started, returning control to user process
2024-12-05 19:02:00,172 WARNING MsgRouterThr:40967 [router.py:message_loop():75] message_loop has been closed
